latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level
9.23726,78.68773,2026-08-09,820,2.14,340.37,299.91,n,26.81,Low
9.25581,78.76631,2026-08-09,820,2.38,338.32,297.49,n,25.85,Low
9.25919,78.76579,2026-08-09,820,1.43,331.52,296.74,n,21.36,Low
9.30707,78.76228,2026-08-09,820,1.64,334.15,300.15,n,22.98,Low
9.64156,80.321,2026-08-09,820,5.12,339.23,292.17,n,28.41,Low
9.40249,77.86951,2026-08-09,820,8.77,344.04,307.92,n,33.82,Low
9.76124,80.20286,2026-08-09,820,3.86,334.41,285.06,n,24.79,Low
9.50695,78.22846,2026-08-09,820,7.49,338.61,304.76,n,29.85,Low
9.55556,77.81236,2026-08-09,820,12.87,341.93,308.12,n,35.72,Low
9.65162,78.06435,2026-08-09,820,3.22,337.75,304.25,n,26.16,Low
9.83043,78.55554,2026-08-09,820,1.93,330.15,294.59,n,20.98,Low
9.80894,78.38943,2026-08-09,820,2.49,336.39,302.68,n,24.86,Low
9.88578,78.29712,2026-08-09,820,19.84,347.52,298.6,n,44.06,Medium
10.9494,78.43846,2026-08-09,820,2.47,338.87,302.18,n,26.22,Low
10.70734,79.56654,2026-08-09,820,16.49,347.98,273.54,n,41.8,Medium
10.8716,79.0443,2026-08-09,820,10.47,352.09,303.67,n,39.57,Low
10.96547,78.87568,2026-08-09,820,4.12,336.29,280.52,n,26.03,Low
6.83105,81.75486,2026-08-09,820,3.36,331.89,286.65,n,23.01,Low
15.6994,76.64658,2026-08-09,822,4.95,338.0,300.19,n,27.6,Low
11.19703,78.23231,2026-08-09,822,5.29,336.41,302.37,n,26.97,Low
12.07076,79.81661,2026-08-09,822,4.54,338.9,297.28,n,27.79,Low
12.71801,77.46906,2026-08-09,822,8.87,339.87,298.49,n,31.58,Low
13.35524,76.1264,2026-08-09,822,2.36,334.62,298.38,n,23.78,Low
13.35856,76.12586,2026-08-09,822,2.36,335.1,294.9,n,24.05,Low
14.49981,79.59328,2026-08-09,822,3.06,337.67,297.07,n,26.0,Low
15.26647,79.7698,2026-08-09,822,2.71,336.78,296.89,n,25.24,Low
15.05902,77.04708,2026-08-09,822,5.8100000000000005,337.61,300.3,n,28.03,Low
15.57389,79.7675,2026-08-09,822,3.73,335.75,298.55,n,25.44,Low
15.11534,76.20264,2026-08-09,822,4.95,343.73,298.5,n,30.78,Low
15.58949,79.25832,2026-08-09,822,6.62,343.05,299.58,n,31.66,Low
15.94282,77.87696,2026-08-09,822,4.61,333.12,301.75,n,24.64,Low
15.86068,76.55389,2026-08-09,822,2.28,333.95,298.79,n,23.35,Low
15.86455,76.55697,2026-08-09,822,2.28,336.54,300.89,n,24.79,Low
15.86401,76.55335,2026-08-09,822,2.28,341.33,299.62,n,27.45,Low
16.28229,77.94062,2026-08-09,822,1.82,332.97,295.16,n,22.46,Low
16.931820000000002,80.82512,2026-08-09,822,1.84,334.89,289.57,n,23.54,Low
16.87387,76.99135,2026-08-09,822,1.83,331.58,295.38,n,21.69,Low
16.87724,76.99081,2026-08-09,822,3.0,333.41,295.37,n,23.59,Low
21.74523,83.8415,2026-08-09,824,10.2,357.33,287.79,l,42.28,Medium
21.74558,83.84499,2026-08-09,824,13.51,348.88,287.87,n,40.07,Medium
31.53647,70.73714,2026-08-09,826,1.61,330.33,301.25,l,20.84,Low
30.91877,71.95527,2026-08-09,826,2.3,335.14,298.62,n,24.02,Low
30.89644,73.2084,2026-08-09,826,4.04,331.57,302.55,l,23.35,Low
30.89251,73.20496,2026-08-09,826,3.85,330.43,302.12,l,22.57,Low
30.74251,72.91972,2026-08-09,826,6.66,330.09,301.36,l,24.49,Low
30.11512,71.60341,2026-08-09,826,0.77,333.26,299.13,n,21.83,Low
34.00609,71.46138,2026-08-09,828,1.22,330.72,303.53,l,20.76,Low
29.22542,88.34853,2026-08-09,1910,1.72,300.65,284.09,n,4.43,Low
23.72358,86.43977,2026-08-09,1913,3.39,304.84,283.74,n,8.01,Low
23.67829,86.09538,2026-08-09,1913,1.6800000000000002,303.21,283.72,n,5.82,Low
23.67917,86.08173,2026-08-09,1913,5.35,308.47,283.66,n,11.5,Low
23.77668,86.38493,2026-08-09,1913,4.09,303.03,283.49,n,7.53,Low
22.36211,87.01589,2026-08-09,1913,2.38,305.84,281.24,n,7.81,Low
23.73755,86.43457,2026-08-09,1913,2.18,301.63,283.46,n,5.32,Low
23.77515,86.38584,2026-08-09,1913,5.89,302.55,283.02,n,8.61,Low
23.7766,86.36593,2026-08-09,1913,3.79,303.26,283.33,n,7.43,Low
23.72545,86.43877,2026-08-09,1913,2.72,303.96,283.53,n,7.02,Low
23.69268,87.12355,2026-08-09,1913,3.42,302.44,281.23,n,6.7,Low
22.36856,87.01659,2026-08-09,1913,1.6,301.8,281.31,n,4.98,Low
22.36279,87.01665,2026-08-09,1913,2.89,310.07,280.9,n,10.54,Low
22.78946,86.20515,2026-08-09,1913,3.0,299.41,281.43,n,4.7,Low
23.60814,85.67458,2026-08-09,1913,2.14,301.04,282.98,n,4.96,Low
23.64419,85.44029,2026-08-09,1913,2.76,303.65,283.05,n,6.88,Low
23.65178,85.43373,2026-08-09,1913,2.09,303.24,282.76,n,6.15,Low
23.56024,87.23846,2026-08-09,1913,4.18,307.75,281.33,n,10.22,Low
23.61382,86.79093,2026-08-09,1913,1.0,301.45,283.76,n,4.33,Low
23.6142,86.78581,2026-08-09,1913,1.0,300.2,283.27,n,3.64,Low
23.679,86.08202,2026-08-09,1913,4.5,310.64,283.37,n,12.06,Low
29.37353,91.14912,2026-08-09,2051,1.72,296.0,279.61,n,1.85,Low
29.37619,91.15083,2026-08-09,2051,2.03,301.85,280.72,n,5.33,Low
29.22537,88.34882,2026-08-09,2051,1.23,304.73,283.11,n,6.33,Low
29.22488,88.34971,2026-08-09,2051,1.28,305.89,282.82,n,7.01,Low
29.47577,76.85696,2026-08-09,2051,0.61,307.79,287.48,n,7.56,Low
30.09282,71.3667,2026-08-09,2051,1.08,311.7,295.21,n,10.09,Low
28.74297,76.93353,2026-08-09,2051,0.94,308.59,287.86,n,8.25,Low
28.37205,77.22668,2026-08-09,2051,0.97,305.23,287.46,n,6.41,Low
34.15973,77.6091,2026-08-09,2051,0.61,303.4,284.25,n,5.12,Low
33.68818,72.70954,2026-08-09,2051,3.05,309.12,293.35,n,10.13,Low
33.27439,71.58952,2026-08-09,2051,1.04,318.46,294.71,n,13.81,Low
33.27035,71.58929,2026-08-09,2051,1.04,316.72,294.69,n,12.85,Low
